"","id","fiyat","oda_salon_sayisi","net_m2","bina_yasi","isinma_tipi","krediye_uygunluk","bulundugu_kat","banyo_sayisi","ilce","nüfus","eðitim","okuma_yazma_bilmeyen"
"2194",2194,275000,4,120,15,"Kombi","Uygun","4. Kat","1","Sincan",549108,"Lise",1.44
"3999",3999,149000,4,110,20,"Kombi","Uygun","Bahçe Katý","1","Sincan",549108,"Lise",1.44
"1592",1592,553000,4,137,25,"Merkezi","Uygun","4. Kat","1","Çankaya",925828,"Lisans",0.7
"768",768,397000,4,120,21,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"511",511,750000,4,90,20,"Merkezi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"162",162,515000,4,130,16,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"940",940,560000,5,200,15,"Kombi","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"3370",3370,550000,3,80,0,"Kombi","Uygun","Kot 1","1","Çankaya",925828,"Lisans",0.7
"4444",4444,925000,6,220,20,"Kombi","Uygun","3. Kat","3","Çankaya",925828,"Lisans",0.7
"1150",1150,850000,6,212,10,"Kombi","Uygun","Teras Katý","2","Çankaya",925828,"Lisans",0.7
"3289",3289,140000,4,130,0,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"909",909,437000,4,110,20,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"3154",3154,9e+05,6,280,18,"Kombi","Uygun","3. Kat","3","Çankaya",925828,"Lisans",0.7
"71",71,775000,4,120,18,"Merkezi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"2552",2552,950000,3,100,0,"Kombi","Uygun","Teras Katý","1","Keçiören",938565,"Lise",1.43
"2559",2559,380000,4,120,20,"Merkezi","Uygun","6. Kat","1","Çankaya",925828,"Lisans",0.7
"589",589,1100000,7,320,4,"Kombi","Uygun","6. Kat","4","Keçiören",938565,"Lise",1.43
"402",402,450000,2,50,0,"Merkezi(PayÖlçer)","Uygun","Zemin","1","Keçiören",938565,"Lise",1.43
"2261",2261,325000,4,140,4,"Kombi","Uygun","4. Kat","1","Sincan",549108,"Lise",1.44
"1796",1796,1525000,3,100,9,"Merkezi","Uygun","7. Kat","1","Çankaya",925828,"Lisans",0.7
"3421",3421,2999999,5,155,10,"Merkezi(PayÖlçer)","Uygun","8. Kat","2","Keçiören",938565,"Lise",1.43
"2150",2150,405000,4,135,28,"Merkezi","Uygun","Kot 1","1","Keçiören",938565,"Lise",1.43
"386",386,950000,5,135,0,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"4506",4506,440000,4,120,0,"Merkezi(PayÖlçer)","Uygun","11. Kat","2","Sincan",549108,"Lise",1.44
"4456",4456,253000,4,100,30,"Merkezi","Uygun","8. Kat","1","Sincan",549108,"Lise",1.44
"3239",3239,419000,4,110,25,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"4556",4556,620000,4,134,36,"Merkezi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"2951",2951,390000,4,140,2,"Kombi","Uygun","3. Kat","2","Sincan",549108,"Lise",1.44
"4554",4554,4250000,6,310,8,"Merkezi(PayÖlçer)","Uygun","21 ve üzeri","2","Çankaya",925828,"Lisans",0.7
"2993",2993,408000,4,140,11,"Kombi","Uygun","4. Kat","1","Keçiören",938565,"Lise",1.43
"828",828,920000,4,115,3,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"4139",4139,435000,4,125,22,"Kombi","Uygun","Yüksek Giriþ","2","Çankaya",925828,"Lisans",0.7
"3546",3546,580000,5,165,0,"Merkezi(PayÖlçer)","Uygun","3. Kat","2","Sincan",549108,"Lise",1.44
"94",94,288000,3,110,12,"Kombi","Uygun","Kot 1","1","Çankaya",925828,"Lisans",0.7
"4330",4330,255000,4,128,1,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"1432",1432,415000,4,145,10,"Kombi","Uygun","Kot 1","2","Keçiören",938565,"Lise",1.43
"447",447,1300000,7,275,7,"Kombi","Uygun","4. Kat","3","Keçiören",938565,"Lise",1.43
"390",390,475000,4,115,25,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"3004",3004,156000,4,110,20,"Kombi","Uygun","2. Kat","1","Mamak",669465,"Lise",1.9
"837",837,675000,5,200,6,"Kombi","Uygun","4. Kat","2","Çankaya",925828,"Lisans",0.7
"4312",4312,450000,7,160,15,"Kombi","Uygun","Yüksek Giriþ","2","Çankaya",925828,"Lisans",0.7
"108",108,1320000,4,150,0,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"2599",2599,285000,3,115,10,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"325",325,439000,4,120,25,"Merkezi","Uygun","Yüksek Giriþ","2","Keçiören",938565,"Lise",1.43
"1862",1862,650000,4,115,30,"Kombi","Uygun","Kot 2","1","Çankaya",925828,"Lisans",0.7
"2259",2259,217000,4,130,20,"Kombi","Uygun","1. Kat","1","Sincan",549108,"Lise",1.44
"3074",3074,545000,4,120,22,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"4188",4188,739000,5,140,29,"Merkezi","Uygun","2. Kat","2","Keçiören",938565,"Lise",1.43
"1816",1816,665000,5,165,18,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"1249",1249,409000,4,125,22,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"3661",3661,450000,4,130,0,"Kombi","Uygun","3. Kat","2","Sincan",549108,"Lise",1.44
"4522",4522,625000,5,190,15,"Kombi","Uygun","4. Kat","3","Keçiören",938565,"Lise",1.43
"2474",2474,205000,4,110,10,"Kombi","Uygun","4. Kat","1","Sincan",549108,"Lise",1.44
"1585",1585,595000,4,125,15,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"1598",1598,480000,4,125,22,"Merkezi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"4199",4199,488000,5,150,19,"Kombi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"4007",4007,352000,4,140,0,"Kombi","Uygun","1. Kat","2","Sincan",549108,"Lise",1.44
"3123",3123,170000,3,80,35,"Kombi","Uygun","Kot 2","1","Çankaya",925828,"Lisans",0.7
"4523",4523,1495000,5,180,12,"Kombi","Uygun","5. Kat","2","Keçiören",938565,"Lise",1.43
"4873",4873,495000,4,90,0,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"176",176,289000,4,120,22,"Merkezi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"4115",4115,475000,4,100,20,"Merkezi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"1880",1880,195000,2,70,15,"Kombi","Uygun","Zemin","1","Keçiören",938565,"Lise",1.43
"2300",2300,480000,4,100,20,"Kombi","Uygun","2. Kat","2","Keçiören",938565,"Lise",1.43
"1551",1551,245000,4,118,9,"Kombi","Uygun","Kot 1","1","Mamak",669465,"Lise",1.9
"3568",3568,780000,3,80,0,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"3030",3030,148000,3,70,20,"Kombi","Uygun","Giriþ Katý","1","Sincan",549108,"Lise",1.44
"136",136,875000,4,135,0,"Merkezi(PayÖlçer)","Uygun","5. Kat","2","Çankaya",925828,"Lisans",0.7
"4191",4191,315000,4,100,30,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"602",602,575000,4,120,18,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"141",141,875000,3,100,6,"Merkezi(PayÖlçer)","Uygun","7. Kat","1","Keçiören",938565,"Lise",1.43
"4219",4219,590000,4,140,11,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"3645",3645,180000,4,120,1,"Kombi","Uygun","1. Kat","2","Sincan",549108,"Lise",1.44
"2035",2035,685000,4,144,36,"Merkezi","Uygun","4. Kat","2","Çankaya",925828,"Lisans",0.7
"2942",2942,359000,4,115,28,"Merkezi","Uygun","Kot 2","1","Keçiören",938565,"Lise",1.43
"2072",2072,325000,4,110,35,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"1124",1124,370000,4,130,20,"Kombi","Uygun","Giriþ Katý","1","Çankaya",925828,"Lisans",0.7
"1191",1191,490000,3,100,4,"Kombi","Uygun","4. Kat","2","Çankaya",925828,"Lisans",0.7
"2849",2849,650000,4,125,25,"Merkezi","Uygun","4. Kat","1","Çankaya",925828,"Lisans",0.7
"3407",3407,1350000,5,185,0,"Merkezi(PayÖlçer)","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"1474",1474,9e+05,6,280,18,"Kombi","Uygun","3. Kat","3","Keçiören",938565,"Lise",1.43
"281",281,450000,4,115,30,"Merkezi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"4429",4429,125000,3,70,0,"Merkezi(PayÖlçer)","Uygun deðil","Yüksek Giriþ","1","Sincan",549108,"Lise",1.44
"869",869,950000,7,395,20,"Kombi","Uygun","2. Kat","3","Çankaya",925828,"Lisans",0.7
"2890",2890,445000,4,105,30,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"2566",2566,270000,4,130,0,"Kombi","Uygun","1. Kat","2","Sincan",549108,"Lise",1.44
"3606",3606,2e+05,3,70,29,"Kombi","Uygun","Giriþ Katý","1","Keçiören",938565,"Lise",1.43
"2977",2977,350000,3,75,30,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"2966",2966,205000,3,80,40,"Kombi","Uygun","Giriþ Katý","1","Çankaya",925828,"Lisans",0.7
"1928",1928,715000,4,120,25,"Kombi","Uygun","En Üst Kat","2","Keçiören",938565,"Lise",1.43
"1876",1876,460000,4,100,0,"Kombi","Uygun","Bahçe Katý","1","Çankaya",925828,"Lisans",0.7
"3739",3739,550000,4,145,0,"Merkezi(PayÖlçer)","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"4611",4611,645000,3,110,22,"Merkezi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"3199",3199,1300000,5,175,0,"Merkezi(PayÖlçer)","Uygun","12. Kat","2","Keçiören",938565,"Lise",1.43
"4874",4874,270000,3,90,8,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"4851",4851,499000,4,105,43,"Merkezi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"4264",4264,545000,3,90,18,"Merkezi","Uygun","11. Kat","1","Keçiören",938565,"Lise",1.43
"2945",2945,450000,4,120,0,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"2609",2609,306000,4,130,4,"Kombi","Uygun","4. Kat","2","Sincan",549108,"Lise",1.44
"3025",3025,1375000,5,250,38,"Merkezi","Uygun","5. Kat","1","Keçiören",938565,"Lise",1.43
"1193",1193,690000,6,240,15,"Kombi","Uygun","4. Kat","3","Çankaya",925828,"Lisans",0.7
"4549",4549,775000,4,120,18,"Merkezi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"1806",1806,595000,4,100,50,"Kombi","Uygun","Teras Katý","1","Keçiören",938565,"Lise",1.43
"526",526,279000,4,105,25,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"4262",4262,425000,4,120,23,"Merkezi","Uygun","Kot 2","1","Çankaya",925828,"Lisans",0.7
"2456",2456,975000,4,130,53,"Merkezi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"2309",2309,515000,4,130,16,"Kombi","Uygun","1. Kat","2","Keçiören",938565,"Lise",1.43
"3107",3107,380000,4,110,0,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"4053",4053,305000,4,110,30,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"1398",1398,1040000,5,150,15,"Merkezi","Uygun","17. Kat","2","Çankaya",925828,"Lisans",0.7
"2196",2196,459000,4,115,25,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"1557",1557,325000,4,125,27,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"2941",2941,265000,4,80,25,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"4046",4046,1200000,4,140,10,"Kombi","Uygun","2. Kat","2","Keçiören",938565,"Lise",1.43
"707",707,209000,4,110,28,"Kombi","Uygun","Yüksek Giriþ","1","Sincan",549108,"Lise",1.44
"2758",2758,1050000,5,177,23,"Merkezi","Uygun","Ara Kat","2","Çankaya",925828,"Lisans",0.7
"4889",4889,325000,4,105,31,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"2380",2380,940000,6,170,20,"Merkezi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"451",451,349000,4,110,25,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"2611",2611,1950000,5,209,3,"Merkezi(PayÖlçer)","Uygun","6. Kat","2","Çankaya",925828,"Lisans",0.7
"4227",4227,1050000,6,280,14,"Kombi","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"1780",1780,490000,3,90,3,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"4582",4582,262000,4,110,25,"Kombi","Uygun","Kot 2","1","Keçiören",938565,"Lise",1.43
"3373",3373,875000,5,220,0,"Kombi","Uygun","2. Kat","3","Keçiören",938565,"Lise",1.43
"1135",1135,415000,4,110,25,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"2546",2546,350000,3,110,35,"Merkezi","Uygun","Kot 2","1","Keçiören",938565,"Lise",1.43
"1968",1968,210000,3,90,30,"Kombi","Uygun","En Üst Kat","1","Çankaya",925828,"Lisans",0.7
"2858",2858,275000,4,110,20,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"550",550,1350000,5,165,5,"Merkezi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"1632",1632,530000,4,115,30,"Merkezi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"110",110,725000,5,230,8,"Kombi","Uygun","Teras Katý","2","Keçiören",938565,"Lise",1.43
"1724",1724,720000,3,80,0,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"3432",3432,470000,4,120,16,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"3965",3965,435000,4,115,45,"Kombi","Uygun","Teras Katý","1","Çankaya",925828,"Lisans",0.7
"1078",1078,595000,4,115,25,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"3809",3809,285000,2,60,0,"Kombi","Uygun","Giriþ Katý","1","Çankaya",925828,"Lisans",0.7
"1529",1529,279000,4,120,19,"Kombi","Uygun","1. Kat","2","Sincan",549108,"Lise",1.44
"2175",2175,760000,3,95,0,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"2207",2207,625000,4,118,45,"Merkezi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"2814",2814,650000,4,120,25,"Kombi","Uygun","9. Kat","1","Keçiören",938565,"Lise",1.43
"465",465,465000,3,95,16,"Kombi","Uygun","Kot 1","1","Keçiören",938565,"Lise",1.43
"1073",1073,375000,4,124,36,"Merkezi","Uygun","Kot 1","1","Keçiören",938565,"Lise",1.43
"4815",4815,479000,4,130,22,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"2716",2716,375000,4,110,30,"Merkezi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"2351",2351,575000,4,115,13,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"834",834,245000,4,125,20,"Merkezi","Uygun","12. Kat","1","Sincan",549108,"Lise",1.44
"4875",4875,750000,4,106,25,"Merkezi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"3335",3335,1500000,4,140,0,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"369",369,550000,3,90,3,"Merkezi(PayÖlçer)","Uygun","Kot 1","1","Keçiören",938565,"Lise",1.43
"3062",3062,545000,4,120,24,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"3435",3435,340000,4,110,22,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"628",628,4e+05,5,145,10,"Kombi","Uygun","En Üst Kat","2","Keçiören",938565,"Lise",1.43
"2749",2749,320000,4,100,29,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"4465",4465,229000,4,115,20,"Kombi","Uygun","3. Kat","1","Sincan",549108,"Lise",1.44
"699",699,310000,3,70,35,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"3076",3076,739000,4,160,0,"Kombi","Uygun","En Üst Kat","2","Çankaya",925828,"Lisans",0.7
"3485",3485,190000,4,105,1,"Merkezi(PayÖlçer)","Uygun deðil","Kot 1","1","Sincan",549108,"Lise",1.44
"3182",3182,950000,5,165,12,"Kombi","Uygun","Yüksek Giriþ","2","Çankaya",925828,"Lisans",0.7
"3648",3648,2e+06,5,180,0,"Kombi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"239",239,490000,4,130,14,"Kombi","Uygun","1. Kat","2","Keçiören",938565,"Lise",1.43
"4005",4005,190000,3,75,30,"Kombi","Uygun","Kot 1","1","Keçiören",938565,"Lise",1.43
"1198",1198,289000,4,120,22,"Merkezi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"1025",1025,7500000,10,1,1,"Merkezi(PayÖlçer)","Uygun","21 ve üzeri","7","Keçiören",938565,"Lise",1.43
"2954",2954,199000,4,130,1,"Kombi","Uygun","1. Kat","2","Sincan",549108,"Lise",1.44
"2575",2575,1300000,5,175,0,"Merkezi(PayÖlçer)","Uygun","12. Kat","2","Çankaya",925828,"Lisans",0.7
"2137",2137,388000,4,135,0,"Kombi","Uygun","2. Kat","2","Sincan",549108,"Lise",1.44
"2690",2690,147500,3,80,26,"Kombi","Uygun","Giriþ Katý","1","Sincan",549108,"Lise",1.44
"702",702,320000,3,94,12,"Merkezi","Uygun","Kot 1","1","Çankaya",925828,"Lisans",0.7
"4691",4691,599000,4,130,20,"Merkezi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"1594",1594,670000,4,150,1,"Merkezi(PayÖlçer)","Uygun","15. Kat","1","Keçiören",938565,"Lise",1.43
"1845",1845,398000,3,90,30,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"3667",3667,645000,5,150,6,"Kombi","Uygun","Yüksek Giriþ","2","Keçiören",938565,"Lise",1.43
"3535",3535,3600000,7,475,13,"Merkezi(PayÖlçer)","Uygun","Bahçe Katý","3","Çankaya",925828,"Lisans",0.7
"3160",3160,389000,2,55,25,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"1656",1656,649000,3,95,3,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"4288",4288,415000,3,120,35,"Kombi","Uygun","Kot 1","1","Keçiören",938565,"Lise",1.43
"729",729,420000,4,140,0,"Kombi","Uygun","3. Kat","1","Sincan",549108,"Lise",1.44
"1086",1086,439000,4,135,12,"Kombi","Uygun","Kot 2","2","Çankaya",925828,"Lisans",0.7
"1169",1169,370000,3,100,20,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"2581",2581,4e+05,4,130,20,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"967",967,479000,4,120,20,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
